,author,co-author,doi,co-author_list,title
312,"Sack, Alexander T.","['Formisano, Elia']",['10.1523/JNEUROSCI.2656-08.2008'],"{'Formisano, Elia'}",['Dynamic premotor-to-parietal interactions during spatial imagery']
313,"Rauchs, Geraldine","['Peigneux, Philippe', 'Peigneux, Philippe']","['10.1371/journal.pone.0002949', '10.1002/hipo.20411']","{'Peigneux, Philippe'}","['Sleep Modulates the Neural Substrates of Both Spatial and Contextual Memory Consolidation', 'Partially segregated neural networks for spatial and contextual memory in virtual navigation']"
314,"Bertolino, Alessandro","['Dallapiccola, Bruno', 'Scarabino, Tommaso', 'Di Giorgio, Annabella']","['10.1016/j.biopsych.2008.02.001', '10.1016/j.biopsych.2006.03.078', '10.1111/j.1460-9568.2008.06482.x']","{'Dallapiccola, Bruno', 'Di Giorgio, Annabella', 'Scarabino, Tommaso'}","['Epistasis between dopamine regulating genes identifies a nonlinear response of the human hippocampus during memory tasks', 'Prefrontal-hippocampal coupling during memory processing is modulated by COMT Val158met genotype', 'Association of the Ser(704)Cys DISC1 polymorphism with human hippocampal formation gray matter and function during memory encoding']"
315,"St. Jacques, Peggy","['Cabeza, Roberto']",['10.1162/jocn.2008.20091'],"{'Cabeza, Roberto'}",['The short and long of it: Neural correlates of temporal-order memory for autobiographical events']
316,"Awipi, T.","['Davachi, L.']",['10.1037/0278-7393.34.4.769'],"{'Davachi, L.'}",['Content-specific source encoding in the human medial temporal lobe']
317,"Cornwell, Brian R.","['Grillon, Christian']",['10.1523/JNEUROSCI.5001-07.2008'],"{'Grillon, Christian'}",['Human hippocampal and parahippocampal theta during goal-directed spatial navigation predicts performance on a virtual Morris water maze']
318,"Jerde, Trenton A.","['Georgopoulos, Apostolos P.']",['10.1007/s00221-008-1318-8'],"{'Georgopoulos, Apostolos P.'}",['Ultra-high field parallel imaging of the superior parietal lobule during mental maze solving']
319,"Seemungal, Barry M.","['Bronstein, Adolfo M.']",['10.1016/j.neulet.2008.03.067'],"{'Bronstein, Adolfo M.'}",['Posterior parietal rTMS disrupts human Path Integration during a vestibular navigation task']
320,"Ludowig, Eva","['Rosburg, Timm']",['10.1162/jocn.2008.20507'],"{'Rosburg, Timm'}",['Intracranially recorded memory-related potentials reveal higher posterior than anterior hippocampal involvement in verbal encoding and retrieval']
321,"Bakker, Arnold","['Stark, Craig E. L.', 'Brandt, Jason']","['10.1126/science.1152882', '10.1037/neu0000410']","{'Stark, Craig E. L.', 'Brandt, Jason'}","['Pattern separation in the human hippocampal CA3 and dentate gyrus', 'Neuropsychological Investigation of The Amazing Memory Man']"
322,"Shipman, Seth L.","['Astur, Robert S.']",['10.1016/j.bbr.2007.10.014'],"{'Astur, Robert S.'}",['Factors affecting the hippocampal BOLD response during spatial memory']
323,"Holdstock, J. S.","['Mayes, A. R.']",['10.1002/hipo.20427'],"{'Mayes, A. R.'}",['Two case studies illustrating how relatively selective hippocampal lesions in humans can have quite different effects on memory']
324,"Soei, Eleonore","['Daum, Irene']",['10.1101/lm.757508'],"{'Daum, Irene'}",['Course of relational and non-relational recognition memory across the adult lifespan']
325,"Simons, Jon S.","['Budson, Andrew E.']",['10.1016/j.neuropsychologia.2007.07.024'],"{'Budson, Andrew E.'}",['Is the parietal lobe necessary for recollection in humans?']
326,"Turner, Martha S.","['Burgess, Paul W.']",['10.1016/j.neuropsychologia.2007.12.029'],"{'Burgess, Paul W.'}",['Distinct roles for lateral and medial rostral prefrontal cortex in source monitoring of perceived and imagined events']
327,"Tsukiura, Takashi","['Cabeza, Roberto']",['10.1016/j.neuropsychologia.2008.03.013'],"{'Cabeza, Roberto'}",['Orbitofrontal and hippocampal contributions to memory for face-name associations: The rewarding power of a smile']
